No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
7915,COCOC1CC(C#N)CS(=O)(=O)O1,*C1CC(*)OS(=O)(=O)C1,*OCOC,*C#N,-0.01596,0.18052
7916,O=S1(=O)CC(F)C(Cl)CO1,*C1COS(=O)(=O)CC1*,*Cl,*F,-0.01596,0.18652
7917,COC(=O)OC1OS(=O)(=O)CCC1C(F)(F)F,*C1CCS(=O)(=O)OC1*,*OC(=O)OC,*C(F)(F)F,-0.01596,0.19052
7918,C#CC1CCOS(=O)C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C1CCOS(=O)C1*,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C#C,-0.01597,0.15431
7919,CC(=O)NC1CCC(N=C=O)OS1=O,*C1CCC(*)S(=O)O1,*NC(C)=O,*N=C=O,-0.01598,0.15876
7920,C=CCC1COS(=O)(=O)CC1Br,*C1COS(=O)(=O)CC1*,*CC=C,*Br,-0.01598,0.16205
7921,C[Si](C)(C)C1OC(=O)CC1C#N,*C1CC(=O)OC1*,*C#N,*[Si](C)(C)C,-0.01598,0.16733
7922,N#CC1CCOS(=O)C1C(F)(F)F,*C1CCOS(=O)C1*,*C(F)(F)F,*C#N,-0.01598,0.16812
7923,C=CC1OC(=O)OC1N=C=O,*C1OC(=O)OC1*,*C=C,*N=C=O,-0.01598,0.17008
7924,O=C=NC1CC(Br)OC1=O,*C1CC(*)C(=O)O1,*N=C=O,*Br,-0.01598,0.17216
7925,C[Si](C)(C)C1C(N=C=O)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*N=C=O,*[Si](C)(C)C,-0.01598,0.17256
7926,COC(=O)C1CCC(N=C=O)OS1(=O)=O,*C1CCC(*)S(=O)(=O)O1,*N=C=O,*C(=O)OC,-0.01598,0.17492
7927,C[Si](C)(C)C1CCC(C(F)(F)F)OS1=O,*C1CCC(*)S(=O)O1,*[Si](C)(C)C,*C(F)(F)F,-0.01599,0.15231
7928,COCOC1C(=O)OC(=O)CC1[Si](C)(C)C,*C1CC(=O)OC(=O)C1*,*OCOC,*[Si](C)(C)C,-0.01599,0.16159
7929,CCCC#CC#N,*C#C*,*C#N,*CCC,-0.01599,0.16743
7930,CCCC1CC(N=C=O)OS(=O)(=O)C1,*C1CC(*)OS(=O)(=O)C1,*N=C=O,*CCC,-0.01599,0.17249
7931,CCCC1CS(=O)(=O)OCC1OC(C)=O,*C1COS(=O)(=O)CC1*,*OC(C)=O,*CCC,-0.01599,0.17644
7932,COC(=O)OC1OC(=O)CC1C(F)(F)F,*C1CC(=O)OC1*,*C(F)(F)F,*OC(=O)OC,-0.01599,0.18066
7933,COC(=O)C1C(=O)OC(=O)C1C(=O)OC,*C1C(=O)OC(=O)C1*,*C(=O)OC,*C(=O)OC,-0.01599,0.18147
7934,CC(=O)NC1CCS(=O)(=O)OC1Cl,*C1CCS(=O)(=O)OC1*,*Cl,*NC(C)=O,-0.016,0.16654
7935,C#CC1CC(C(=O)OC)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*C(=O)OC,*C#C,-0.016,0.16719
7936,COCOC1CCS(=O)(=O)OC1Br,*C1CCS(=O)(=O)OC1*,*Br,*OCOC,-0.016,0.16916
7937,CCCC1S(=O)(=O)OC(C(F)(F)F)OS1(=O)=O,*C1OS(=O)(=O)C(*)S(=O)(=O)O1,*CCC,*C(F)(F)F,-0.016,0.19899
7938,C[Si](C)(C)C1COS(=O)C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1,*C1COS(=O)C(*)C1,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*[Si](C)(C)C,-0.01601,0.15428
7939,COC(=O)OCOC(=O)CCC(=O)OCNC(C)=O,*COC(=O)CCC(=O)OC*,*OC(=O)OC,*NC(C)=O,-0.01601,0.15712
7940,N#CC1OS(=O)CCC1F,*C1CCS(=O)OC1*,*F,*C#N,-0.01601,0.16376
7941,O=C=NC1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)O1,*C1CCC(*)S(=O)O1,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*N=C=O,-0.01601,0.16514
7942,C1OS(=O)(=O)CCC1C(=O)OC,*C1CCS(=O)(=O)OC1*,*,*C(=O)OC,-0.01601,0.18
7943,CCCC1OS(=O)(=O)C(N=C=O)S(=O)(=O)O1,*C1OS(=O)(=O)C(*)S(=O)(=O)O1,*N=C=O,*CCC,-0.01601,0.18262
7944,C[Si](C)(C)C1C(=O)OC(=O)C1c1ccccc1,*C1C(=O)OC(=O)C1*,*c1ccccc1,*[Si](C)(C)C,-0.01602,0.14984
7945,C=CCC1OS(=O)(=O)CCC1Cl,*C1CCS(=O)(=O)OC1*,*CC=C,*Cl,-0.01602,0.15733
7946,CCCC1OC(=O)CC1N=C=O,*C1CC(=O)OC1*,*N=C=O,*CCC,-0.01602,0.16716
7947,C[Si](C)(C)C1CC(=O)OC1Cl,*C1CC(=O)OC1*,*[Si](C)(C)C,*Cl,-0.01602,0.1684
7948,C#CC1C(=O)OC(=O)CC1C,*C1CC(=O)OC(=O)C1*,*C#C,*C,-0.01602,0.16903
7949,FC(F)(F)C1OCC2(CO1)COC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC2,*C1OCC2(CO1)COC(*)OC2,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C(F)(F)F,-0.01602,0.17626
7950,COC(=O)OC1OS(=O)(=O)CCC1OC(C)=O,*C1CCS(=O)(=O)OC1*,*OC(=O)OC,*OC(C)=O,-0.01602,0.1793
7951,CCCC1CC(C(F)(F)F)OS(=O)(=O)C1,*C1CC(*)OS(=O)(=O)C1,*C(F)(F)F,*CCC,-0.01602,0.18484
7952,CC1CCOS(=O)(=O)C1C(F)(F)F,*C1CCOS(=O)(=O)C1*,*C,*C(F)(F)F,-0.01602,0.18666
7953,O=C1OC(C(F)(F)F)CC1C(F)(F)F,*C1CC(*)C(=O)O1,*C(F)(F)F,*C(F)(F)F,-0.01602,0.18699
7954,O=S1(=O)OC(C(F)(F)F)CCC1c1cccs1,*C1CCC(*)S(=O)(=O)O1,*C(F)(F)F,*c1cccs1,-0.01603,0.14662
7955,COC(=O)C1OC(=O)CC1[Si](C)(C)C,*C1CC(=O)OC1*,*[Si](C)(C)C,*C(=O)OC,-0.01603,0.16232
7956,C#CC1CC(=O)OC1NC(C)=O,*C1CC(=O)OC1*,*C#C,*NC(C)=O,-0.01603,0.16275
7957,CCCC1COS(=O)(=O)CC1[Si](C)(C)C,*C1COS(=O)(=O)CC1*,*CCC,*[Si](C)(C)C,-0.01603,0.16354
7958,COC1CC(N=C=O)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*N=C=O,*OC,-0.01603,0.16945
7959,C#CC1CC(C)C(=O)OC1=O,*C1CC(*)C(=O)OC1=O,*C,*C#C,-0.01603,0.1695
