No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
185,CCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*C,-0.00213 ,0.19255 
186,C=CCCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*CC=C,-0.00420 ,0.16345 
187,COC(=O)OC(=O)OCOC(C)=O,*COC(*)=O,*OC(=O)OC,*OC(C)=O,-0.00486 ,0.18429 
188,COCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*OC,-0.00377 ,0.18293 
189,COCOCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*OCOC,-0.00650 ,0.17275 
190,COC(=O)OCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*OC(=O)OC,-0.00409 ,0.19446 
191,COC(=O)COC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*C(=O)OC,-0.00776 ,0.18396 
192,COC(=O)OC(=O)OCC#N,*COC(*)=O,*OC(=O)OC,*C#N,-0.01024 ,0.19710 
193,COC(=O)OC(=O)OCN=C=O,*COC(*)=O,*OC(=O)OC,*N=C=O,-0.00777 ,0.18446 
194,COC(=O)OC(=O)OCF,*COC(*)=O,*OC(=O)OC,*F,-0.00402 ,0.19792 
195,COC(=O)OC(=O)OCCl,*COC(*)=O,*OC(=O)OC,*Cl,-0.00653 ,0.18738 
196,COC(=O)OC(=O)OCBr,*COC(*)=O,*OC(=O)OC,*Br,-0.00840 ,0.17135 
197,COC(=O)OC(=O)OCc1ccccc1,*COC(*)=O,*OC(=O)OC,*c1ccccc1,-0.00428 ,0.15539 
198,COC(=O)OC(=O)OCc1cccs1,*COC(*)=O,*OC(=O)OC,*c1cccs1,-0.00509 ,0.14806 
199,COC(=O)OC(=O)OCC(F)(F)F,*COC(*)=O,*OC(=O)OC,*C(F)(F)F,-0.00551 ,0.19800 
200,COC(=O)OC(=O)OC[Si](C)(C)C,*COC(*)=O,*OC(=O)OC,*[Si](C)(C)C,-0.01007 ,0.17656 
201,CCCCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*CCC,-0.00332 ,0.18404 
202,COC(=O)OC(=O)OCNC(C)=O,*COC(*)=O,*OC(=O)OC,*NC(C)=O,-0.01455 ,0.16706 
203,C#CCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*C#C,-0.00478 ,0.17418 
204,COC(=O)C=CCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*C=CC(=O)OC,-0.02814 ,0.16429 
